image_path,vegetable_label,freshness_label
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (854).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\carroty12_jpg.rf.cd06d6827b8f93d9a57e32bf491876ad.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_60_Screen Shot 2018-06-12 at 9.11.43 PM.png,14,1
E:\Dataset(蔬果）\Rotten\RottenBittergroud\IMG_20200825_144547.jpg_0_210.jpg,16,1
E:\Dataset(蔬果）\Rotten\RottenApple\saltandpepper_Screen Shot 2018-06-08 at 2.34.42 PM.png,13,1
E:\Dataset(蔬果）\Fresh\FreshApple\translation_Screen Shot 2018-06-08 at 5.12.47 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\carrot_-233_jpg.rf.b4ac69cd4496000117bdaebee1bd280a.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\54_jpg.rf.cad9258ab1bc8c6bd64f738a717a9558.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_30_Screen-Shot-2018-06-12-at-11-35-59-PM_png.rf.29831e46ac5a5e9ac5992bc57c2bdc8f.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenTomato\(85).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1049).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\r_255_100_jpg.rf.84d84285c699295b31b373bc351c457a.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenApple\Screen Shot 2018-06-07 at 2.58.38 PM.png,13,1
E:\Dataset(蔬果）\Fresh\FreshOrange\Screen-Shot-2018-06-12-at-11-51-08-PM_png.rf.373026a6ad850aa7d167e4bb8816072d.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3885).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenOkra\o_r279.png,21,1
E:\Dataset(蔬果）\Rotten\RottenCucumber\c_r238.png,19,1
E:\Dataset(蔬果）\Fresh\FreshOrange\images118_jpg.rf.ab482de356e64b5e71bb984903df6e69.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (458).png,0,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\purple Disease_105.jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_60_Screen-Shot-2018-06-12-at-11-20-52-PM_png.rf.5c519221131aafdefce3fa162f2619e3.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCapciscum\Day4A.jpg_0_870.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (764).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220606_094143.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_75_Screen Shot 2018-06-08 at 5.33.33 PM.png,0,0
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200727_223205.jpg_0_8985.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshOrange\images296_jpg.rf.905e30bd1d616b63a1893c97d0603d77.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (398).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenTomato\t_r612.png,25,1
E:\Dataset(蔬果）\Rotten\RottenTomato\t_r377.png,25,1
E:\Dataset(蔬果）\Rotten\RottenTomato\tomat_busuk (103).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (2100).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\rottenCarrot (367).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1368).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\0320.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (840).jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenCucumber\rottenCucumber (252).jpg,19,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (431).jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenTomato\t_r770.png,25,1
E:\Dataset(蔬果）\Rotten\RottenBanana\rottenBanana (42).jpg,14,1
E:\Dataset(蔬果）\Rotten\RottenBanana\b_r636.png,14,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\car_13_png.rf.c3022d76896c7d7d5a7131f7b429d4cb.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenTomato\rottenTomato (227).jpg,25,1
E:\Dataset(蔬果）\Rotten\RottenApple\rotated_by_15_Screen Shot 2018-06-07 at 3.02.37 PM.png,13,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\000114_jpg.rf.d8e42cf88fe958a3e891aa55b13509f5.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (168).jpg,0,0
E:\Dataset(蔬果）\Rotten\RottenTomato\t_r647.png,25,1
E:\Dataset(蔬果）\Fresh\FreshOrange\img_521_jpeg.rf.226e2e95dfb38f14cd735e2541b20e55.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(408).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshBanana\b_f335.png,1,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_30_Screen Shot 2018-06-12 at 9.27.22 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (246).jpg,0,0
E:\Dataset(蔬果）\Rotten\RottenOrange\jeruk_busuk (640).png,22,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\KakaoTalk_20230809_191311559_01_jpg.rf.edab5ad1bd5de81cd87e2fc040a9e806.jpg,5,0
